Date,Temperature,precipitation (mm),Wind Speed (m/s),Humidity (%),Pressure (hPa),Condition
2022-05-03,13.1,,2.7,48.1,1010.8,clear
2022-05-04,16.3,,3.5,42.1,1010.5,clear
2022-05-05,17.2,,2.7,51.9,1010.6,clear
2022-05-06,18.3,,2.4,71.5,1008.4,clouds
2022-05-07,16.6,0.3,3.5,54.3,1009,rain
2022-05-08,15.2,0.7,2.9,48.1,1010.4,rain
2022-05-09,16.1,,2.5,59.6,1009.9,clouds
2022-05-10,18.8,0.1,2.6,36.8,1007.9,rain
2022-05-11,16.8,0.1,2.4,60,1007.2,rain
2022-05-12,18.6,,2.3,54,1003,clouds
2022-05-13,18,,3.4,41.9,999.9,clouds
2022-05-14,14.4,,3.8,53.9,1004.5,clouds
2022-05-15,14.8,,3.2,44.9,1006.1,clear
2022-05-16,15.4,,3.6,66.3,1003.3,clear
2022-05-17,17.4,,3,69.3,1004.8,clear
2022-05-18,18.3,2.4,4.2,63.1,1007.3,rain
2022-05-19,17.7,,3.9,60.3,1008,clouds
2022-05-20,18.4,,2.6,59.1,1005.5,clouds
2022-05-21,17.1,,2.6,81.3,1001.7,clouds
2022-05-22,17.3,,2.6,79.5,999.9,clouds
2022-05-23,19.5,,2.4,75.4,1004,clouds
2022-05-24,20.1,,2.1,66.4,1006.1,clouds
2022-05-25,17.9,2,2.7,81.8,1001,rain
2022-05-26,16.5,,3.6,68.8,996.2,clear
2022-05-27,17.5,,3.3,71.4,993.6,clear
2022-05-28,19.8,,3.1,69.3,997.2,clear
2022-05-29,20,,2.7,74,997.3,clouds
2022-05-30,18.9,0.1,2.4,75.8,994.8,rain
2022-05-31,18.7,,2.8,54.1,999.7,clear
2022-06-01,20.4,,3.1,48.5,998,clear
2022-06-02,19.5,,2.4,76.1,999.8,clouds
2022-06-03,21.3,,2.2,72,1001.9,clouds
2022-06-04,22.8,,1.9,72.5,1001.5,clouds
2022-06-05,21.9,0.5,2.7,60,994.6,rain
2022-06-06,19.6,1.6,3.3,65.4,993.6,rain
2022-06-07,19.9,0.1,2.9,54.9,999.2,rain
2022-06-08,19.9,,2.6,70.1,1003.3,clouds
2022-06-09,20.1,0.4,1.9,76,1005.1,rain
2022-06-10,20,4.4,2.1,77.5,1005.9,rain
2022-06-11,23.9,,2.8,61.1,1004.1,clouds
2022-06-12,22.9,,2.5,63,1004.1,clouds
2022-06-13,22.7,0.1,2.5,67.8,1000.8,rain
2022-06-14,21.8,0.1,3.6,50.1,1000.1,rain
2022-06-15,17.3,19.7,2.3,90.5,997.8,rain
2022-06-16,19.2,2.7,2.6,78.5,999.9,rain
2022-06-17,21.2,,1.9,79.9,999.9,clouds
2022-06-18,22,,2.1,82.9,999.6,clouds
2022-06-19,22.4,,2,83.6,999.6,clouds
2022-06-20,23.4,0.1,1.7,81.8,996.9,rain
2022-06-21,23.2,,2,81,996.3,clouds
2022-06-22,22.9,,2,81.4,999.3,clouds
2022-06-23,22.3,92.3,3.8,92.4,991.5,rain
2022-06-24,20.8,8.4,3.7,94.9,990.2,rain
2022-06-25,23.7,,3.4,87.3,996,clouds
2022-06-26,25.1,0.1,4.5,85.6,999.9,rain
2022-06-27,25.8,2.3,5.2,83.8,998.2,rain
2022-06-28,25.1,2.6,7.2,85.9,994.2,rain
2022-06-29,23.7,24.9,5.4,95.8,996.2,rain
2022-06-30,22.6,126.1,2.7,97,1002,rain
2022-07-01,25.6,,2.9,86,1006.2,clouds
2022-07-02,26.5,,2,80.8,1004.8,clouds
2022-07-03,27.1,,2.1,72.6,1000.8,clouds
2022-07-04,27.3,,1.7,71.4,997.5,clouds
2022-07-05,27.3,0.1,2.1,74.8,997.3,rain
2022-07-06,29,,2,72.5,998.7,clouds
2022-07-07,27.6,0.5,4.3,78.5,997.1,rain
2022-07-08,24.4,0.1,2.9,88.6,995.1,rain
2022-07-09,25.3,,1.8,82.8,995.1,clouds
2022-07-10,26.7,,1.9,75.1,996.9,clouds
2022-07-11,26.7,,2.3,69.9,997.9,clouds
2022-07-12,26.7,,2.2,72.1,999.3,clouds
2022-07-13,24.4,168,3.6,93.4,993.6,rain
2022-07-14,24,0.5,2.8,87.9,992.4,rain
2022-07-15,24.3,,2.8,84.6,992.1,clouds
2022-07-16,24.4,,2.9,83.6,990.6,clouds
2022-07-17,24.6,,2.7,83.8,992.6,clouds
2022-07-18,25.9,,1.9,78.8,991.3,clouds
2022-07-19,25.8,,2.5,81.1,994.5,clouds
2022-07-20,25.8,0.7,2.4,80.4,998.3,rain
2022-07-21,23.2,12.8,3.7,83.8,994.4,rain
2022-07-22,24.8,,2.8,82.6,997.9,clouds
2022-07-23,24.2,11.6,2.2,84.5,996.4,rain
2022-07-24,24.5,0.4,2.2,87.8,994.4,rain
2022-07-25,25.8,,2.4,79,1001,clear
2022-07-26,27.5,,1.9,74.6,1001.5,clouds
2022-07-27,27.8,,2.2,72.6,1001.4,clouds
2022-07-28,28.4,,2.5,64.5,1002.7,clouds
2022-07-29,29.3,,2.5,71,1003.9,clouds
2022-07-30,31.1,0.1,2.4,61.8,1001.1,rain
2022-07-31,27.2,20.7,2.6,82.4,998,rain
2022-08-01,27.7,31.3,3.1,85,997.2,rain
2022-08-02,25.5,148.2,5.1,95.8,1000,rain
2022-08-03,26.3,51.1,3.4,94.6,1002.2,rain
2022-08-04,27.3,,2.3,88.1,1001.7,clouds
2022-08-05,27.8,0.1,2.8,87,998.4,rain
2022-08-06,27.7,0.1,2.3,88.4,998.1,rain
2022-08-07,28.1,0.1,3.8,85.6,998,rain
2022-08-08,26.2,207.8,5,93,997.8,rain
2022-08-09,24.2,113.1,3.2,97.4,997.7,rain
2022-08-10,22.7,6.3,2,90.6,998.1,rain
2022-08-11,23.5,19.4,1.9,90.8,996.3,rain
2022-08-12,25.1,,1.8,81.8,998.4,clouds
2022-08-13,24.6,6.5,2.1,86.3,997.5,rain
2022-08-14,26.8,1.4,2.2,86.3,997.3,rain
2022-08-15,27.2,0.1,6.1,86.8,992.5,rain
2022-08-16,25,0.1,2.7,79.9,995.7,rain
2022-08-17,25.2,,1.9,77,998.3,clouds
2022-08-18,25,,2.3,76.5,999.5,clouds
2022-08-19,25.7,11.3,3.9,86.4,994.2,rain
2022-08-20,26.7,,2.4,82.1,994.2,clouds
2022-08-21,27,,1.8,78.9,997,clouds
2022-08-22,26.2,0.1,2.8,78,996.4,rain
2022-08-23,24.4,2.8,2.8,72.3,998.1,rain
2022-08-24,24.5,,2.6,65.9,999.7,clouds
2022-08-25,22.4,1.6,2.1,74.1,999.8,rain
2022-08-26,23.7,,2.6,74.5,999.2,clouds
2022-08-27,21.4,0.1,3.6,55.3,1002.6,rain
2022-08-28,22.4,,2.2,57.8,1006.5,clouds
2022-08-29,20.8,1,2.6,70.3,1007.2,rain
2022-08-30,19,34.1,2.4,92.8,1002.9,rain
2022-08-31,21.5,,1.9,81.8,1000.8,clouds
2022-09-01,23.9,,2.2,71.9,1005.4,clear
2022-09-02,25.1,,2.6,57.6,1007.5,clouds
2022-09-03,24.5,,3.1,57.3,1005.9,clouds
2022-09-04,22.9,27.1,3.7,82.5,1000.7,rain
2022-09-05,18.5,95.5,4.5,92.8,998.8,rain
2022-09-06,20.9,25.5,4.8,77.9,997.6,rain
2022-09-07,22.6,,2.2,65.4,1009,clear
2022-09-08,22.4,,1.9,72.6,1010,clear
2022-09-09,24.1,,2,67.6,1009.2,clouds
2022-09-10,23.7,,2.1,43.8,1009.2,clouds
2022-09-11,22.7,0.1,1.9,69.4,1006.9,rain
2022-09-12,23.2,,1.8,78.1,1006.1,clouds
2022-09-13,24.3,0.1,2.4,71.3,1007.7,rain
2022-09-14,24.4,0.1,4.2,55.3,1007.5,rain
2022-09-15,25.6,,2.9,60.3,1002.6,clouds
2022-09-16,25.3,14.9,3.6,75.1,999.2,rain
2022-09-17,24.5,0.5,1.9,84.4,1000.3,rain
2022-09-18,25.8,,3,74.1,995.9,clouds
2022-09-19,23.2,,4.3,62.9,994.7,clouds
2022-09-20,19.1,,2.8,51.4,1005.6,clouds
2022-09-21,18.6,,2.4,57.3,1008.8,clear
2022-09-22,19.7,,2.4,58.1,1006.9,clouds
2022-09-23,17.8,4.3,3.9,67.4,1005,rain
2022-09-24,18.7,,2.4,63.4,1008.8,clouds
2022-09-25,20,,1.8,67.4,1008.2,clouds
2022-09-26,19.8,,1.9,63.8,1008.9,clouds
2022-09-27,20.4,,1.7,71.8,1007.6,clear
2022-09-28,20.1,,1.4,76.8,1005.7,clouds
2022-09-29,19.7,,1.6,80.1,1006.9,clouds
2022-09-30,19.8,,1.6,80.5,1008.2,clear
2022-10-01,19.6,,1.5,74.6,1009.7,clouds
2022-10-02,20,17.8,2.9,74.6,1007.2,rain
2022-10-03,21.9,57.1,4.4,96.1,1003.1,rain
2022-10-04,17,7,3.8,75.1,1005.1,rain
2022-10-05,15.5,,2.4,69.3,1011.5,clouds
2022-10-06,15.5,,2.6,72.5,1011.1,clouds
2022-10-07,13.6,,3.5,57,1012.3,clouds
2022-10-08,16.2,,2.1,57,1015.2,clouds
2022-10-09,12.9,17.3,3.3,80.5,1009.3,rain
2022-10-10,9.8,2.9,5,69.1,1005.9,rain
2022-10-11,11.1,,3,61.5,1013.6,clear
2022-10-12,13.7,,1.8,65.3,1018.2,clear
2022-10-13,16.6,,2.1,66.6,1016.6,clouds
2022-10-14,16.6,,1.9,74.8,1011.9,clouds
2022-10-15,17.2,,2,71.1,1010.9,clouds
2022-10-16,16.3,,1.8,75.6,1010,clouds
2022-10-17,10.9,,4.6,44.4,1012.1,clear
2022-10-18,9.6,,3.3,45.9,1014.8,clear
2022-10-19,11.5,,1.8,52,1017.9,clear
2022-10-20,13.3,,1.5,65.6,1019.3,clear
2022-10-21,14,,1.7,70.5,1016.1,clouds
2022-10-22,15,,1.7,79.1,1012.8,clouds
2022-10-23,13.2,,3.5,59.1,1011.2,clear
2022-10-24,10.1,,3.8,45.5,1013.8,clear
2022-10-25,11,,2.2,53.9,1019.7,clear
2022-10-26,12.8,,1.8,54.8,1019.2,clouds
2022-10-27,13,,2.2,68.6,1017.5,clear
2022-10-28,12.8,,1.9,71.9,1017.8,clear
2022-10-29,14.7,,2,68.4,1017.7,clear
2022-10-30,14.9,,2.1,67.6,1016.8,clear
2022-10-31,14.8,,2.2,70,1015.7,clouds
2022-11-01,13.2,,1.9,73,1013.8,clouds
2022-11-02,10.8,,2.2,53.9,1012.9,clear
2022-11-03,9.4,0.1,2.8,55.4,1011.8,rain
2022-11-04,5,,4,39.5,1015.4,clear
2022-11-05,8,,2,48.4,1016.8,clear
2022-11-06,10.4,,2,58.1,1016,clouds
2022-11-07,11.7,0.1,2.1,64.4,1014.8,rain
2022-11-08,12.6,0.1,1.5,76.3,1016.4,rain
2022-11-09,11.4,,1.3,80.4,1017,clouds
2022-11-10,13,,1.7,76,1016.5,clear
2022-11-11,15.5,,2.3,58.5,1016.6,clear
2022-11-12,16.3,47.7,3.6,76.1,1006.9,rain
2022-11-13,9.5,,3,77.8,1007.5,clouds
2022-11-14,9.3,,2.5,70,1009.9,clouds
2022-11-15,8.6,1,2.5,71.9,1008.5,rain
2022-11-16,9.4,,1.9,68,1012.1,clouds
2022-11-17,11.1,,2.1,67,1015.5,clear
2022-11-18,11.5,,2,70.5,1017.7,clear
2022-11-19,13.5,,2.5,54.4,1014,clouds
2022-11-20,13.6,,1.9,65.1,1011.6,clear
2022-11-21,12.3,0.1,2.1,73.5,1013.1,rain
2022-11-22,10.2,0.1,2.1,75.9,1012.5,rain
2022-11-23,10.3,0.1,3.1,61,1009.8,rain
2022-11-24,10,,1.7,68.5,1012.6,clouds
2022-11-25,12.4,0.1,4.2,67.9,1008.7,rain
2022-11-26,6.5,,3.7,47.4,1010.5,clear
2022-11-27,6,,2.2,38.9,1012,clouds
2022-11-28,13,30.1,3.5,68.8,1005.2,rain
2022-11-29,5.8,2.4,5.5,58.8,1009.9,snow
2022-11-30,-5.6,,5.7,48.6,1023.7,clear
2022-12-01,-5.3,,3,43.1,1023.4,clear
2022-12-02,-2.3,,2.3,35.9,1021.2,clouds
2022-12-03,2.7,1.4,3.5,70.5,1016.7,snow
2022-12-04,-3.8,,4.9,34.1,1023.4,clouds
2022-12-05,-3.2,,3,42.6,1021.1,clouds
2022-12-06,1.5,0.1,2.3,62.9,1014.4,snow
2022-12-07,5.2,0.7,3.3,58.8,1014.8,rain
2022-12-08,4.5,,1.8,51.4,1017.3,clear
2022-12-09,5.3,,2.5,56.4,1014,clouds
2022-12-10,2.7,,2.5,42.9,1012.4,clouds
2022-12-11,1.7,,2.8,49.3,1015,clear
2022-12-12,2.5,2.1,2,68,1011.3,rain
2022-12-13,0.2,1.3,4.7,67.8,1010.1,snow
2022-12-14,-8.2,,4.1,52.1,1019.4,clear
2022-12-15,-4.3,2.5,3.4,75,1015.9,snow
2022-12-16,-6.9,,3.5,47.4,1022.1,clouds
2022-12-17,-7.3,1.3,3.4,52.5,1016.8,snow
2022-12-18,-9.7,,3.4,47.6,1014.8,clear
2022-12-19,-7.1,0.1,1.9,50.5,1018.3,snow
2022-12-20,-2.5,,2.1,50.3,1017.4,clouds
2022-12-21,0.9,3.9,2.9,78.8,1003.2,snow
2022-12-22,-7.7,,6,61.4,1002.3,clear
2022-12-23,-11.3,,5.9,60.6,1005.6,clouds
2022-12-24,-9,,2.5,54.1,1012.3,clear
2022-12-25,-4.9,,1.9,62.3,1015.2,clear
2022-12-26,-3.7,,1.8,62.1,1017.7,clear
2022-12-27,-1.7,,1.5,66.6,1020.4,clear
2022-12-28,-3.2,0.2,3.2,55.4,1022,snow
2022-12-29,-2.8,0.3,2,54.6,1023.8,snow
2022-12-30,-2.5,0.2,2.1,68.3,1023.3,snow
2022-12-31,0.2,,2.4,62.4,1021.7,clouds
2022-01-01,-4.4,,1.2,54.5,1022.5,clouds
2022-01-02,-1.2,0.1,1.7,58.5,1018.3,snow
2022-01-03,-1.7,,1.5,63.6,1018.1,clouds
2022-01-04,0.1,0.1,2.2,48.5,1019.3,snow
2022-01-05,-1.4,,1,53.1,1018.6,clouds
2022-01-06,-0.7,,1.6,48.4,1020.2,clear
2022-01-07,-1.5,,1.2,50.8,1021.2,clear
2022-01-08,0.7,,1.4,56.5,1016.6,clouds
2022-01-09,2.5,,1.2,63.5,1013.9,clouds
2022-01-10,0.7,0.1,1.3,62.9,1012.2,snow
2022-01-11,-3.8,0.3,3.4,55.5,1012.1,snow
2022-01-12,-5.1,0.1,2.3,49.4,1014.5,snow
2022-01-13,-4.5,0.4,3.1,51.9,1013.6,snow
2022-01-14,-4,,1.4,46,1017.4,clear
2022-01-15,0.6,,1,45,1014.8,clouds
2022-01-16,0.7,0.1,3.3,53,1016.6,rain
2022-01-17,-3.1,0.1,2.2,59.3,1019,snow
2022-01-18,-4.4,,1.7,40.5,1020,clear
2022-01-19,-3.2,0.1,1.9,59.6,1016.4,snow
2022-01-20,-4,,1.5,56.5,1020,clear
2022-01-21,-1.9,,1,50.6,1021.5,clear
2022-01-22,3.6,0.1,1,47.1,1017.4,rain
2022-01-23,4.6,,1.4,50.5,1013,clouds
2022-01-24,4.1,,3.1,55.6,1013.3,clouds
2022-01-25,3.4,0.2,1.8,76,1013.1,rain
2022-01-26,2.7,,2.1,56.5,1016.3,clouds
2022-01-27,0.3,,1.6,49.9,1016.5,clouds
2022-01-28,-1,,1.7,49.3,1016.2,clouds
2022-01-29,-2,,1.8,45.1,1013.9,clouds
2022-01-30,-2,,1.6,44.3,1013.8,clear
2022-01-31,-0.5,0.3,1.5,54.4,1016,snow
2022-02-01,0.4,0.1,2.4,64.5,1017.4,snow
2022-02-02,-0.2,,2.6,44.9,1019.8,clouds
2022-02-03,-1.7,,2.4,44.1,1018.6,clear
2022-02-04,-2.4,0.1,2.6,53,1016.7,snow
2022-02-05,-4.9,0.1,2.5,59.6,1018.2,snow
2022-02-06,-3,0.1,2.2,61.9,1019.9,snow
2022-02-07,-2.1,,1.8,47.3,1020.1,clouds
2022-02-08,-0.1,,1.5,47.9,1019.2,clear
2022-02-09,1.5,,1,45.4,1016.9,clouds
2022-02-10,2.9,,1.7,39.6,1014.8,clear
2022-02-11,2.8,,1.6,45.9,1017.9,clouds
2022-02-12,4.3,,1.4,44.8,1016.2,clouds
2022-02-13,5,,1.3,48.3,1013,clouds
2022-02-14,4.1,0.1,2,55.5,1012.2,rain
2022-02-15,-2.3,0.1,3.5,53.5,1013.9,snow
2022-02-16,-5.6,0.1,3.4,55.3,1015.4,snow
2022-02-17,-5.5,,2.1,43.9,1019.8,clear
2022-02-18,-0.9,,1.2,39.4,1021.1,clouds
2022-02-19,0.5,0.1,2.4,45.1,1015.4,snow
2022-02-20,-3.2,0.1,3.4,40.9,1018.3,snow
2022-02-21,-0.7,0.1,2.5,50.3,1020.2,snow
2022-02-22,-2.2,0.1,3,44.9,1023.6,snow
2022-02-23,-4.1,,2.6,34.9,1024.5,clouds
2022-02-24,-1.6,,2,41.9,1022.5,clear
2022-02-25,2.9,,1.7,63.1,1019,clear
2022-02-26,6.8,1.4,3.1,62.1,1010.9,rain
2022-02-27,5,,2.3,46.9,1014.2,clear
2022-02-28,6.9,,1.5,44.3,1012.7,clouds
2022-03-01,6.7,0.6,2.1,64.9,1006.8,rain
2022-03-02,3.8,,2,52.9,1010.2,clear
2022-03-03,7,,2.1,49.5,1010,clear
2022-03-04,8.6,,2.4,48.6,1004.8,clouds
2022-03-05,3.9,,4.2,36,1008.3,clear
2022-03-06,2.2,,2.3,32.3,1013.5,clear
2022-03-07,4.3,,1.4,36.3,1012.3,clouds
2022-03-08,6.1,,1.4,48.9,1011.1,clear
2022-03-09,7.8,,1.2,51.9,1013.7,clear
2022-03-10,9.6,,1.4,39.9,1012.6,clouds
2022-03-11,11,,1,55.1,1010.2,clouds
2022-03-12,15.3,,1.6,64.1,1007.3,clouds
2022-03-13,14.4,24.6,1.7,88.3,1003.1,rain
2022-03-14,11.3,3.2,1.7,85.8,1003.7,rain
2022-03-15,9.4,,1.6,65.1,1006.2,clouds
2022-03-16,11.3,,1.7,58,1008.1,clouds
2022-03-17,9.1,5.8,2.3,79.1,1010.7,rain
2022-03-18,6.4,3.9,3.6,76,1002.4,rain
2022-03-19,4.1,12.9,2,82.8,1001.5,rain
2022-03-20,5.1,0.1,1.9,68.9,1011.1,rain
2022-03-21,5.8,,1.7,48.6,1015.2,clouds
2022-03-22,6.9,,1.7,44.3,1013.5,clouds
2022-03-23,5.8,0.1,1.5,60.3,1010.3,rain
2022-03-24,8.7,,1.7,61.4,1011.8,clouds
2022-03-25,12.6,9.1,2.1,66.6,1006.9,rain
2022-03-26,11,13.7,2.5,89.6,995.6,rain
2022-03-27,8.4,,3,53.3,1008.2,clear
2022-03-28,7.7,,1.4,44.1,1017.5,clear
2022-03-29,10.7,,1.5,49.8,1016.3,clear
2022-03-30,12.4,0.2,1.4,69,1012.4,rain
2022-03-31,11.4,0.1,2.1,69.4,1015.4,rain
2022-04-01,9.7,,2.1,47.4,1020.3,clouds
2022-04-02,8.1,,2,47.3,1019.4,clear
2022-04-03,9.6,,1.8,45,1019.7,clear
2022-04-04,10.8,,1.7,41.8,1019.5,clear
2022-04-05,10.3,,1.8,38.6,1014.5,clouds
2022-04-06,12.5,,1.8,36.8,1012.8,clear
2022-04-07,11.9,0.7,1.9,47.9,1010.3,rain
2022-04-08,13.9,,1.7,35.1,1011.2,clear
2022-04-09,18.2,,2.2,39.8,1007.5,clear
2022-04-10,18.6,,1.7,43.3,1008.4,clouds
2022-04-11,20.6,,1.6,54.1,1005.1,clear
2022-04-12,20.7,,2.1,66.3,1002.8,clouds
2022-04-13,14,29,2.3,87.5,1005.6,rain
2022-04-14,10.7,2.2,2.6,74,1009.6,rain
2022-04-15,12.6,,2.4,54.3,1009.1,clouds
2022-04-16,13.1,,2,44.4,1009.5,clear
2022-04-17,13.9,,1.8,40.3,1010.4,clear
2022-04-18,15,,1.7,43,1010.2,clouds
2022-04-19,15.7,,1.7,38.9,1009.6,clear
2022-04-20,15.2,,1.9,41.1,1008.4,clear
2022-04-21,14.6,,1.6,50.1,1004.8,clouds
2022-04-22,16.7,,2.3,64.1,1003.3,clouds
2022-04-23,18.9,,1.4,55.3,1004,clouds
2022-04-24,19.7,,1.8,64.5,1003.3,clouds
2022-04-25,20.1,6.7,1.2,66,1002.7,rain
2022-04-26,18.8,21.3,1.8,79.1,995.4,rain
2022-04-27,17.2,,1.7,40.3,1006.6,clear
2022-04-28,17.8,,2,49.5,1007.7,clouds
2022-04-29,13.1,9.8,2.9,67.1,1007.9,rain
2022-04-30,13.7,,2.2,60.3,1009.7,clouds
2022-05-01,13.4,,2.1,51.5,1006.2,clear
2022-05-02,13.9,,2.4,49.6,1006,clear
2022-05-03,14.1,,1.9,45.3,1011.5,clear
2022-05-04,16.7,,2.1,44.9,1011.5,clear
2022-05-05,18.5,,1.6,49.8,1010.8,clear
2022-05-06,19.6,,1.5,64.3,1008.5,clear
2022-05-07,18.3,,2.2,56.1,1009.3,clouds
2022-05-08,17.1,0.9,2.8,49.8,1010.1,rain
2022-05-09,17.3,2.7,2.5,55.6,1009.9,rain
2022-05-10,19.2,,2.5,36.5,1008.1,clouds
2022-05-11,20,,1.3,48.3,1007,clouds
2022-05-12,21,,1.2,52.4,1003,clouds
2022-05-13,19,0.1,1.8,56.1,1000,rain
2022-05-14,15.7,,2.7,41.5,1005,clouds
2022-05-15,15.5,,2.1,38.9,1006.4,clouds
2022-05-16,16.6,,2.1,39.6,1004.6,clear
2022-05-17,20.4,,2.2,43,1005.8,clear
2022-05-18,22.4,,2.5,35.4,1008.9,clear
2022-05-19,20.7,,2.2,31.4,1009.4,clouds
2022-05-20,20.7,,1.5,51.6,1005.7,clouds
2022-05-21,20.8,,2,64,1001.8,clear
2022-05-22,21.1,,3,67,1000.4,clear
2022-05-23,22.6,,2.2,62.8,1004.5,clouds
2022-05-24,23.1,,1.9,49.6,1006,clear
2022-05-25,22.3,,1.9,54.1,1001,clouds
2022-05-26,19.4,4.5,2.2,55.9,997.3,rain
2022-05-27,21.5,,2.9,51.8,994.2,clear
2022-05-28,23.1,,2.5,42.8,998.3,clouds
2022-05-29,23.4,,1.6,50.3,997.2,clouds
2022-05-30,21.4,0.1,2.1,66.1,994.7,rain
2022-05-31,21.4,,1.9,39.5,1000.4,clear
2022-06-01,23.2,,2.1,33.6,998.4,clear
2022-06-02,22.5,,2.1,58,999.7,clear
2022-06-03,24.8,,1.9,58.6,1001.6,clouds
2022-06-04,25.1,,3.4,49,1001.9,clouds
2022-06-05,18.6,6.2,3.1,78.8,995.1,rain
2022-06-06,19.4,2.8,2,78.3,993.1,rain
2022-06-07,17.3,0.1,2.4,77.6,999.8,rain
2022-06-08,20.7,0.2,2.5,64.5,1003.6,rain
2022-06-09,22.4,,1.6,66.3,1005.2,clouds
2022-06-10,23.6,,1.5,61.4,1005.5,clouds
2022-06-11,24.3,,2.1,57.8,1004,clouds
2022-06-12,24.3,0.1,2.8,56,1004.4,rain
2022-06-13,23.1,0.1,3.6,54.3,1001.5,rain
2022-06-14,17.9,6.3,3.4,76,1000.9,rain
2022-06-15,19.8,36.5,1.8,80.1,998.7,rain
2022-06-16,22,0.1,1.8,61.6,1000.4,rain
2022-06-17,23.4,0.1,1.3,69.8,1000.3,rain
2022-06-18,25.2,0.1,1.6,69.3,999.8,rain
2022-06-19,25.1,,1.4,71.5,999.8,clouds
2022-06-20,26.8,,1.4,67.1,996.5,clouds
2022-06-21,28.1,,1.5,61.8,995.8,clear
2022-06-22,27.5,,2,61,999.4,clouds
2022-06-23,25.1,29.6,2.2,83.3,993.5,rain
2022-06-24,25,10.7,2.7,77.8,991.2,rain
2022-06-25,27.8,,2.4,68.1,997,clouds
2022-06-26,27.4,0.2,2.5,72.8,1001.3,rain
2022-06-27,28,3.6,3.2,71.8,1000.2,rain
2022-06-28,29.4,,5.2,60.1,996.6,clouds
2022-06-29,26.7,18.6,3.3,79.3,998,rain
2022-06-30,27.2,2.9,2.5,78.5,1003.1,rain
2022-07-01,28.6,,1.5,69,1006.4,clouds
2022-07-02,29.6,,1.3,65.9,1004.5,clouds
2022-07-03,28.1,38.7,1.4,73.1,1000.9,rain
2022-07-04,27.6,0.1,1.2,76.5,997.7,rain
2022-07-05,28.2,0.1,1.3,77.3,997.5,rain
2022-07-06,30.1,,2.1,69.3,999.5,clouds
2022-07-07,29.5,3.2,3,67.6,998.4,rain
2022-07-08,27.6,0.9,1.8,74.6,995.3,rain
2022-07-09,26.5,,1,75.6,995.3,clouds
2022-07-10,28.7,7.8,1.3,71.6,997.1,rain
2022-07-11,25.1,16.3,1.2,87.9,998.4,rain
2022-07-12,27,0.1,1.4,78.1,999.7,rain
2022-07-13,24.8,10.6,2.6,85.1,995.8,rain
2022-07-14,26,0.5,2,81.3,992.8,rain
2022-07-15,26.1,,1.7,70.1,992.5,clouds
2022-07-16,26.2,,2.1,68.9,991.3,clouds
2022-07-17,26,,1.8,71.1,993.3,clouds
2022-07-18,22.3,57.4,1.8,91.6,991.9,rain
2022-07-19,25,,1.5,81.3,995.4,clouds
2022-07-20,27.6,0.1,1.3,70.4,998.4,rain
2022-07-21,23.8,13.7,2.3,86.1,994.1,rain
2022-07-22,25.7,,1.6,69.8,998.3,clouds
2022-07-23,24.8,17.6,1.7,77.6,997.1,rain
2022-07-24,24.7,2.3,1.6,86.9,994.9,rain
2022-07-25,27.2,0.4,1.6,73.9,1000.9,rain
2022-07-26,28.4,,1.4,71.1,1001.6,clouds
2022-07-27,27.6,,3.2,65.9,1002,clouds
2022-07-28,28.2,,3.2,69.3,1003.1,clouds
2022-07-29,30.3,,2.8,65.3,1004.1,clear
2022-07-30,28.8,0.1,3.6,67.8,1001.6,rain
2022-07-31,25.9,25.6,2,87.6,998.2,rain
2022-08-01,27.6,4.4,2.9,82,997.9,rain
2022-08-02,27.9,1.1,2.3,78.9,1001.6,rain
2022-08-03,29.3,0.1,2.1,72.8,1002.9,rain
2022-08-04,29.2,,1.7,74.5,1002,clouds
2022-08-05,28.7,3.5,1.8,78.1,999,rain
2022-08-06,29.9,,1.8,71.8,998.7,clouds
2022-08-07,29.9,,2.3,74,999.2,clouds
2022-08-08,28.6,0.1,3.1,71.4,999.9,rain
2022-08-09,28,1.4,3.1,74.5,999.5,rain
2022-08-10,25.3,192.9,2.2,92.3,998.5,rain
2022-08-11,24.4,58.2,2.3,93.6,997.4,rain
2022-08-12,27.3,0.1,1.2,78.1,998.5,rain
2022-08-13,26,24,1.3,84.9,998.4,rain
2022-08-14,26.7,6.5,1.6,86.5,998.5,rain
2022-08-15,28.1,7,3.5,74.8,995.1,rain
2022-08-16,25.8,32.9,2.1,84.3,996.5,rain
2022-08-17,25.6,8.2,1.2,82.3,998.3,rain
2022-08-18,25.1,,1.1,75.8,1000,clouds
2022-08-19,26.4,0.1,2,79.6,996,rain
2022-08-20,27,83.6,2,82.3,994.7,rain
2022-08-21,27.5,,1.5,72.3,997.3,clouds
2022-08-22,27.3,,1.4,73,997,clouds
2022-08-23,23.8,30.2,1,89.9,998.3,rain
2022-08-24,22.7,0.2,3,77.9,1000.3,rain
2022-08-25,22.3,0.1,1.6,79.4,1000.1,rain
2022-08-26,22.9,,1.4,70.6,1000,clear
2022-08-27,21.6,,2.1,62.4,1002.7,clouds
2022-08-28,22.1,,1.9,60.8,1006.8,clouds
2022-08-29,19.6,4.5,2.1,79.3,1007.9,rain
2022-08-30,19.1,30.2,1.1,92.9,1002.8,rain
2022-08-31,21,7.2,1,90.3,1000.7,rain
2022-09-01,22.4,,1.4,80.1,1005.7,clouds
2022-09-02,22.6,,3.2,72,1007.8,clouds
